自,自,oneself,"ジ、シ、みずか-ら ji, shi, mizuka-ra",6
時,日,time,"ジ、とき ji, toki",10
室,宀,room,"シツ、むろ shitsu, muro",9
社,示,company,"シャ、やしろ sha, yashiro",7
弱,弓,weak,"ジャク、よわ-い、よわ-る、よわ-まる、よわ-める jaku, yowa-i, yowa-ru, yowa-maru, yowa-meru",10
首,首,neck,"シュ、くび shu, kubi",9
秋,禾,autumn,"シュウ、あき shū, aki",9
週,辵,week,シュウ shū,11
春,日,springtime,"シュン、はる shun, haru",9
書,曰,write,"ショ、か-く sho, ka-ku",10
少,小,few,"ショウ、すく-ない、すこ-し shō, suku-nai, suko-shi",4
場,土,place,"ジョウ、ば jō, ba",12
色,色,color,"ショク、シキ、いろ shoku, shiki, iro",6
食,食,"eat, meal","ショク、（ジキ）、く-う、く-らう、た-べる shoku, (jiki), ku-u, ku-rau, ta-beru",9
心,心,heart,"シン、こころ shin, kokoro",4
新,斤,new,"シン、あたら-しい、あら-た、にい shin, atara-shii, ara-ta, nii",13
親,見,parent,"シン、おや、した-しい、した-しむ shin, oya, shita-shii, shita-shimu",16
図,囗,diagram,"ズ、ト、はか-る zu, to, haka-ru",7
数,攴,number,"スウ、（ス）、かず、かぞ-える sū, (su), kazu, kazo-eru",13
西,襾,west,"セイ、サイ、にし sei, sai, nishi",6
声,耳,voice,"セイ、（ショウ）、こえ、（こわ） sei, (shō), koe, (kowa)",7
星,日,star,"セイ、（ショウ）、ほし sei, (shō), hoshi",9
晴,日,clear up,"セイ、は-れる、は-らす sei, ha-reru, ha-rasu",12
切,刀,cut,"セツ、（サイ）、き-る、き-れる setsu, (sai), ki-ru, ki-reru",4
雪,雨,snow,"セツ、ゆき setsu, yuki",11
船,舟,boat,"セン、ふね、（ふな） sen, fune, (funa)",11
線,糸,line,セン sen,15
前,刀,in front,"ゼン、まえ zen, mae",9
組,糸,association,"ソ、く-む、くみ so, ku-mu, kumi",11
走,走,run,"ソウ、はし-る sō, hashi-ru",7
多,夕,many,"タ、おお-い ta, oo-i",6
太,大,thick,"タイ、タ、ふと-い、ふと-る tai, ta, futo-i, futo-ru",4
体,骨,body,"タイ、テイ、からだ tai, tei, karada",7
台,至,pedestal,"ダイ、タイ dai, tai",5
地,土,ground,"チ、ジ chi, ji",6
池,水,pond,"チ、いけ chi, ike",6
知,矢,know,"チ、し-る chi, shi-ru",8
茶,艸,tea,"チャ、サ cha, sa",9
昼,日,daytime,"チュウ、ひる chū, hiru",9
長,長,long,"チョウ、なが-い chō, naga-i",8
鳥,鳥,bird,"チョウ、とり chō, tori",11
朝,月,morning,"チョウ、あさ chō, asa",12
直,目,straight,"チョク、ジキ、ただ-ちに、なお-す、なお-る choku, jiki, tada-chini, nao-su, nao-ru",8
通,辵,pass through,"ツウ、（ツ）、とお-る、とお-す、かよ-う tsū, (tsu), too-ru, too-su, kayo-u",10
弟,弓,younger brother,"テイ、（ダイ）、（デ）、おとうと tei, (dai), (de), otōto",7
店,广,shop,"テン、みせ ten, mise",8
点,黑,point,テン ten,9
電,雨,electricity,デン den,13
刀,刀,sword,"トウ、かたな tō, katana",2
冬,冫,winter,"トウ、ふゆ tō, fuyu",5
当,田,hit,"トウ、あ-たる、あ-てる tō, a-taru, a-teru",6
東,木,east,"トウ、ひがし tō, higashi",8
答,竹,answer,"トウ、こた-える、こた-え tō, kota-eru, kota-e",12
頭,頁,head,"トウ、ズ、（ト）、あたま、かしら tō, zu, (to), atama, kashira",16
同,口,same,"ドウ、おな-じ dō, ona-ji",6
道,辵,road,"ドウ、（トウ）、みち dō, (tō), michi",12
読,言,read,"ドク、トク、（トウ）、よ-む doku, toku, (tō), yo-mu",14
内,入,inside,"ナイ、（ダイ）、うち nai, (dai), uchi",4
南,十,south,"ナン、（ナ）、みなみ nan, (na), minami",9
肉,肉,meat,ニク niku,6
馬,馬,horse,"バ、うま、（ま） ba, uma, (ma)",10
売,貝,sell,"バイ、う-る、う-れる bai, u-ru, u-reru",7
買,貝,buy,"バイ、か-う bai, ka-u",12
麦,麥,wheat,"バク、むぎ baku, mugi",7
半,十,half,"ハン、なか-ば han, naka-ba",5
番,田,one's turn,バン ban,12
父,父,father,"フ、ちち fu, chichi",4
風,風,wind,"フウ、（フ）、かぜ、（かざ） fū, (fu), kaze, (kaza)",9
分,刀,"part, minute of time","ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ bun, fun, bu, wa-keru, wa-kareru, wa-karu, wa-katsu",4
聞,耳,hear,"ブン、モン、き-く、き-こえる bun, mon, ki-ku, ki-koeru",14
米,米,rice,"ベイ、マイ、こめ bei, mai, kome",6
歩,止,walk,"ホ、ブ、（フ）、ある-く、あゆ-む ho, bu, (fu), aru-ku, ayu-mu",8
母,毋,mother,"ボ、はは bo, haha",5
方,方,direction,"ホウ、かた hō, kata",4
北,匕,north,"ホク、きた hoku, kita",5
毎,毋,every,マイ mai,6
妹,女,younger sister,"マイ、いもうと mai, imōto",8
万,艸,ten thousand,"マン、バン man, ban",3
明,日,bright,"メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす mei, myō, a-kari, aka-rui, aka-rumu, aka-ramu, aki-raka, a-keru, a-ku, a-kuru, a-kasu",8
鳴,鳥,chirp,"メイ、な-く、な-る、な-らす mei, na-ku, na-ru, na-rasu",14
毛,毛,hair,"モウ、け mō, ke",4
門,門,gates,"モン、かど mon, kado",8
夜,夕,night,"ヤ、よ、よる ya, yo, yoru",8
野,里,field,"ヤ、の ya, no",11
友,又,friend,"ユウ、とも yū, tomo",4
用,用,use,"ヨウ、もち-いる yō, mochi-iru",5
曜,日,day of the week,ヨウ yō,18
